Location,Age,Gender,Ethnicity,Resolution,Offence,Year,Value,Flags
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2005",12397,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2006",13301,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2007",13113,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2008",12809,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2009",14692,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2010",14718,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2011",14261,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2012",12075,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2013",12024,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2014",11592,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2005",15126,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2006",16826,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2007",17699,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2008",18536,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2009",17961,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2010",17539,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2011",17913,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2012",15103,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2013",14732,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2014",13656,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2005",20556,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2006",20144,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2007",21241,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2008",22040,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2009",23603,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2010",20395,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2011",19030,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2012",17695,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2013",12971,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2014",14038,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2006",9369,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2007",10466,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2008",10906,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2009",12409,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2010",11114,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2011",11173,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2012",9872,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2013",8201,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2014",8035,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",20176,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",19895,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2003",19532,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2004",20780,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2005",19479,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2006",20171,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2007",21813,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2008",24357,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2009",24712,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2010",24872,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2011",19492,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2012",21628,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2013",18427,
"Canterbury District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2014",16130,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",14285,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",14231,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",15762,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2003",18918,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2004",16236,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2005",16118,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2006",16213,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2007",16409,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2008",16268,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2009",16926,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2010",16437,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2011",14124,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2012",13610,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2013",11517,
"Southern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2014",10473,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",197115,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",196400,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",203353,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2003",213735,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2004",200502,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2005",193898,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2006",203488,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2007",213759,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2008",221806,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2009",238111,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2010",223451,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2011",210341,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2012",194129,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2013",171841,
"Total New Zealand","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2014",156029,
