Location,Scene,Offence,Year,Measure,Value,Flags
"Waitemata District","Total Scene","Theft and related offences","2010","Recorded",11870,
"Waitemata District","Total Scene","Theft and related offences","2011","Recorded",13003,
"Waitemata District","Total Scene","Property damage and environmental pollution","2011","Recorded",3471,
"Waitemata District","Total Scene","Property damage and environmental pollution","2012","Recorded",3324,
"Waitemata District","Total Scene","Property damage and environmental pollution","2013","Recorded",3183,
"Waitemata District","Total Scene","Property damage and environmental pollution","2014","Recorded",3062,
"Waitemata District","Total Scene","Theft and related offences","2012","Recorded",10824,
"Waitemata District","Total Scene","Theft and related offences","2013","Recorded",12076,
"Waitemata District","Total Scene","Theft and related offences","2014","Recorded",12291,
"Waitemata District","Total Scene","Property damage and environmental pollution","1994","Recorded",2491,
"Waitemata District","Total Scene","Property damage and environmental pollution","1995","Recorded",3358,
"Waitemata District","Total Scene","Property damage and environmental pollution","1996","Recorded",3676,
"Waitemata District","Total Scene","Property damage and environmental pollution","1997","Recorded",3415,
"Waitemata District","Total Scene","Property damage and environmental pollution","1998","Recorded",2947,
"Waitemata District","Total Scene","Property damage and environmental pollution","1999","Recorded",3259,
"Waitemata District","Total Scene","Property damage and environmental pollution","2000","Recorded",3448,
"Waitemata District","Total Scene","Property damage and environmental pollution","2001","Recorded",3516,
"Waitemata District","Total Scene","Public order offences","2005","Recorded",3359,
"Waitemata District","Total Scene","Public order offences","2006","Recorded",3479,
"Waitemata District","Total Scene","Public order offences","2007","Recorded",3632,
"Waitemata District","Total Scene","Public order offences","2008","Recorded",3642,
"Waitemata District","Total Scene","Public order offences","2009","Recorded",3419,
"Waitemata District","Total Scene","Public order offences","2010","Recorded",2948,
"Waitemata District","Total Scene","Public order offences","2011","Recorded",2554,
"Waitemata District","Total Scene","Property damage and environmental pollution","2002","Recorded",3692,
"Waitemata District","Total Scene","Property damage and environmental pollution","2003","Recorded",4132,
"Waitemata District","Total Scene","Property damage and environmental pollution","2004","Recorded",3817,
"Waitemata District","Total Scene","Property damage and environmental pollution","2005","Recorded",4382,
"Waitemata District","Total Scene","Property damage and environmental pollution","2006","Recorded",4271,
